quote,topic,direction,price_direction,unemployment_direction,horizon_months,confidence,voice,speaker_name,scope,is_quoted_forecaster,conditional_on,page_id,date,publisher,source_text_type,predicted_norm,realized,basis,hit,scorable,unscorable_reason,horizon_used,horizon_basis
"Meanwhile ,the Committee for Eco
nomic Development made public a sur-
vey indicating that private industry
would be able to provide 54 million
jobs by September, 1946.",employment,improve,na,down,12,hedged,expert,Committee for Economic Development,national,True,na,/service/ndnp/ohi/batch_ohi_buttercup_ver01/data/sn83045012/00340580540/1945083101/0358.xml,1945-08-31,"the butler county press (hamilton, ohio) 1900-1946",full_page,down,,no UNRATE before 1948 / outside coverage,,False,no UNRATE before 1948 / outside coverage,12.0,stated
"The 1,725 permanent offices of the
U. S. Employment Service are ready for
the rush which is expected to develop
from the big-scale release of workers
from war jobs, the War Manpower
Commission says,",employment,worsen,na,up,vague,hedged,official,War Manpower Commission,national,True,na,/service/ndnp/ohi/batch_ohi_buttercup_ver01/data/sn83045012/00340580540/1945083101/0358.xml,1945-08-31,"the butler county press (hamilton, ohio) 1900-1946",full_page,up,,no UNRATE before 1948 / outside coverage,,False,no UNRATE before 1948 / outside coverage,24.0,inferred_long
"The danger is that inadequate un
employment insurance will dry up pur
chasing power, frighten workers and
cause production to shrink because of
lack of customers.",general_business,worsen,na,na,vague,hedged,official,A. J. Biemiller,national,True,inadequate unemployment insurance,/service/ndnp/ohi/batch_ohi_buttercup_ver01/data/sn83045012/00340580540/1945100501/0378.xml,1945-10-05,"the butler county press (hamilton, ohio) 1900-1946",full_page,worsen,improve,INDPRO,0.0,True,,12.0,default
"The gradual enhancement of market value of these Issues is considered highly significant in the most conservative circles, and regarded quite generallj as foreshadowing milch easier mone market conditions, but which likewise is a precusor of a further slackeiiing of industrial and buslnes activi ties.",markets,improve,na,na,vague,hedged,expert,na,national,False,na,/service/ndnp/pst/batch_pst_holuba_ver02/data/sn83045211/00237280271/1921012101/0809.xml,1921-01-21,evening public ledger (philadelphia [pa.]) 1914-1942,full_page,improve,improve,STOCK,1.0,True,,12.0,default
"As soon as the railroads have been restored to the normal state under private ownership, he said, it is almost certain that action will be taken by them to lower the freight rates in Montana.",prices,improve,down,na,vague,assertive,expert,F. J. Gies,regional,True,railroads restored to private ownership,/service/ndnp/mthi/batch_mthi_bison_ver01/data/sn83045217/00295860728/1921011501/0016.xml,1921-01-15,"great falls tribune (great falls, mont.) 1921-current",full_page,down,,,,False,scope=regional (not US national),,
Stock raising will come back to its old and to greater prosperity in Montana.,general_business,improve,na,na,vague,assertive,expert,O. S. Warden,regional,True,na,/service/ndnp/mthi/batch_mthi_bison_ver01/data/sn83045217/00295860728/1921011501/0016.xml,1921-01-15,"great falls tribune (great falls, mont.) 1921-current",full_page,improve,,,,False,scope=regional (not US national),,
Iron and steel will soon largely utilize our water power.,general_business,improve,na,na,vague,assertive,expert,O. S. Warden,regional,True,na,/service/ndnp/mthi/batch_mthi_bison_ver01/data/sn83045217/00295860728/1921011501/0016.xml,1921-01-15,"great falls tribune (great falls, mont.) 1921-current",full_page,improve,,,,False,scope=regional (not US national),,
Montana will produce more wealth per capita than any other commonwealth in the whole Union.,general_business,improve,na,na,vague,assertive,official,Scott Leavitt,regional,True,reasonable business conditions,/service/ndnp/mthi/batch_mthi_bison_ver01/data/sn83045217/00295860728/1921011501/0019.xml,1921-01-15,"great falls tribune (great falls, mont.) 1921-current",full_page,improve,,,,False,scope=regional (not US national),,
"With the return of prosperity, Montana will, I believe, for instance produce more bushels of corn in a favorable year than there are now grown bushels of wheat.",other,improve,na,na,vague,hedged,official,Scott Leavitt,regional,True,return of prosperity and a favorable year,/service/ndnp/mthi/batch_mthi_bison_ver01/data/sn83045217/00295860728/1921011501/0019.xml,1921-01-15,"great falls tribune (great falls, mont.) 1921-current",full_page,improve,,,,False,scope=regional (not US national),,
"With the return of prosperity, industries will ^clamor for women workers, in the opinion of Miss Mary E. McDowell of the University of Chicago Settlement house, who is chairman of the women in industry committee of the National League of Women Voters.",employment,improve,na,down,vague,assertive,expert,Mary E. McDowell,national,True,return of prosperity,/service/ndnp/mthi/batch_mthi_bison_ver01/data/sn83045217/00295860728/1921030301/0671.xml,1921-03-03,"great falls tribune (great falls, mont.) 1921-current",full_page,down,,no UNRATE before 1948 / outside coverage,,False,no UNRATE before 1948 / outside coverage,12.0,default
It will be but a short time until there will be about 15 rigs operating in the immediate vicinity of Kevin.,general_business,improve,na,na,vague,assertive,journalist,na,regional,False,na,/service/ndnp/mthi/batch_mthi_bison_ver01/data/sn83045217/00295860728/1921030301/0671.xml,1921-03-03,"great falls tribune (great falls, mont.) 1921-current",full_page,improve,,,,False,scope=regional (not US national),,
"The worst of the business depression Is over Henry Ford, the automobile manufacturé, said Wednesday. He declared business was Improving steadily in Detroit and that similar gains should result in other parts of the country soon.",general_business,improve,na,na,vague,hedged,expert,Henry Ford,national,True,na,/service/ndnp/mthi/batch_mthi_bison_ver01/data/sn83045217/00295860728/1921031001/0769.xml,1921-03-10,"great falls tribune (great falls, mont.) 1921-current",full_page,improve,improve,INDPRO,1.0,True,,6.0,inferred_short
"""Different conditions will prevail after the re-adjustment than before the war,"" he said, ""therto will be more economy in every way, but the volume of business will continually grow.""",general_business,improve,na,na,vague,assertive,expert,Henry Ford,national,True,na,/service/ndnp/mthi/batch_mthi_bison_ver01/data/sn83045217/00295860728/1921031001/0769.xml,1921-03-10,"great falls tribune (great falls, mont.) 1921-current",full_page,improve,improve,INDPRO,1.0,True,,12.0,default
"J. H. Wellens, manager of the Great Falls Auto Truck company, dealers for the Studebaker Six, the Cole Aero Eight, and the Day-Elder trucks, believes the oil business in Montana in 1921 is to increase motor truck sales greatly.",industry,improve,na,na,12,hedged,expert,J. H. Wellens,regional,True,na,/service/ndnp/mthi/batch_mthi_bison_ver01/data/sn83045217/00295860728/1921031301/0840.xml,1921-03-13,"great falls tribune (great falls, mont.) 1921-current",full_page,improve,,,,False,scope=regional (not US national),,
He is particularly optimistic as to the amount of business possible in his territory during the ocming spring and summer.,general_business,improve,na,na,6,hedged,expert,J. H. Wellens,regional,True,na,/service/ndnp/mthi/batch_mthi_bison_ver01/data/sn83045217/00295860728/1921031301/0840.xml,1921-03-13,"great falls tribune (great falls, mont.) 1921-current",full_page,improve,,,,False,scope=regional (not US national),,
"With the exception of coal, steel and iron, which are still more than 100% above pre-war levels, practically all basic commodity prices are on a valuation basis, or below it, and such conditions are bound to bring buyers back into the market.",markets,improve,na,na,vague,assertive,expert,A. R. Erskine,national,True,na,/service/ndnp/mthi/batch_mthi_bison_ver01/data/sn83045217/00295860728/1921031301/0840.xml,1921-03-13,"great falls tribune (great falls, mont.) 1921-current",full_page,improve,improve,STOCK,1.0,True,,12.0,default
"With our great crops, unlimited mineral resources, big merchant marine, and 110,000,000 intelligent, ingenious people, America can and should be prosperous in spite of the world conditions, and business will rebound to big volume with surprising recovery.",general_business,improve,na,na,vague,assertive,expert,A. R. Erskine,national,True,na,/service/ndnp/mthi/batch_mthi_bison_ver01/data/sn83045217/00295860728/1921031301/0840.xml,1921-03-13,"great falls tribune (great falls, mont.) 1921-current",full_page,improve,improve,INDPRO,1.0,True,,12.0,default
"True, the derangement in foreign exchanges, with the dpreciation of foreign currencies, is an obstacle to American exports that hampers their fullest development, but a tremendous export trade will be done in spite of this situation.",general_business,improve,na,na,vague,assertive,expert,A. R. Erskine,national,True,na,/service/ndnp/mthi/batch_mthi_bison_ver01/data/sn83045217/00295860728/1921031301/0840.xml,1921-03-13,"great falls tribune (great falls, mont.) 1921-current",full_page,improve,improve,INDPRO,1.0,True,,12.0,default
"Speaking broadly, the automobile business will recover as quickly as any and remain, as heretofore, a conspicuous figure in American industry.",industry,improve,na,na,vague,assertive,expert,A. R. Erskine,industry,True,na,/service/ndnp/mthi/batch_mthi_bison_ver01/data/sn83045217/00295860728/1921031301/0840.xml,1921-03-13,"great falls tribune (great falls, mont.) 1921-current",full_page,improve,,,,False,scope=industry (not US national),,
"The strong companies of the industry, with adequate plants and capital and good products, will grow and increase their business.",industry,improve,na,na,vague,assertive,expert,A. R. Erskine,industry,True,na,/service/ndnp/mthi/batch_mthi_bison_ver01/data/sn83045217/00295860728/1921031301/0840.xml,1921-03-13,"great falls tribune (great falls, mont.) 1921-current",full_page,improve,,,,False,scope=industry (not US national),,
"Those of us in the automobile business believe in the recovery of business, the future of our industry, and the return of prosperity this year.",general_business,improve,na,na,12,hedged,expert,A. R. Erskine,national,True,na,/service/ndnp/mthi/batch_mthi_bison_ver01/data/sn83045217/00295860728/1921031301/0840.xml,1921-03-13,"great falls tribune (great falls, mont.) 1921-current",full_page,improve,improve,INDPRO,1.0,True,,12.0,stated
"Business firms of Milwaukee are making preparations for the possibility of a business depression in the near future., according to V. M. Pace, sales manager, Gimbel Brothers, today.",general_business,worsen,na,na,vague,hedged,expert,V. M. Pace,regional,True,na,/service/ndnp/whi/batch_whi_emmental_ver01/data/sn83045293/00517012452/1920102701/0080.xml,1920-10-27,"the milwaukee leader (milwaukee, wis.) 1911-1938",full_page,worsen,,,,False,scope=regional (not US national),,
"Because this is a presidential year and because there is industrial depression looming up, we are taking all precaution! possible to avert trouble when the worst comes.",general_business,worsen,na,na,vague,assertive,expert,V. M. Pace,national,True,na,/service/ndnp/whi/batch_whi_emmental_ver01/data/sn83045293/00517012452/1920102701/0080.xml,1920-10-27,"the milwaukee leader (milwaukee, wis.) 1911-1938",full_page,worsen,worsen,INDPRO,1.0,True,,12.0,default
We have started our Christmas drive earlier this year as it may be harder to make sales after eelction.,general_business,worsen,na,na,vague,hedged,expert,V. M. Pace,industry,True,na,/service/ndnp/whi/batch_whi_emmental_ver01/data/sn83045293/00517012452/1920102701/0080.xml,1920-10-27,"the milwaukee leader (milwaukee, wis.) 1911-1938",full_page,worsen,,,,False,scope=industry (not US national),,
While for the present only five men are effected the entire shop force of between 100 to 125 men and women may be Involved shortly as the company has plans to make the wage cut effective Throughout the plant.,employment,worsen,na,na,vague,hedged,expert,Frank Oakley,industry,True,na,/service/ndnp/whi/batch_whi_emmental_ver01/data/sn83045293/00517012452/1920102701/0080.xml,1920-10-27,"the milwaukee leader (milwaukee, wis.) 1911-1938",full_page,up,,,,False,scope=industry (not US national),,
Oakley said that wage reductions made in another plant and that the metal polishers employed there Were likely to be called out within the next 24 hours.,employment,worsen,na,up,vague,hedged,expert,Frank Oakley,industry,True,na,/service/ndnp/whi/batch_whi_emmental_ver01/data/sn83045293/00517012452/1920102701/0080.xml,1920-10-27,"the milwaukee leader (milwaukee, wis.) 1911-1938",full_page,up,,,,False,scope=industry (not US national),,
Union heads are being informed that after contracts expire there will be no further dealings with organized labor.,employment,worsen,na,na,vague,assertive,journalist,Nate L. Welch,regional,False,after contracts expire,/service/ndnp/whi/batch_whi_emmental_ver01/data/sn83045293/00517012452/1920102701/0080.xml,1920-10-27,"the milwaukee leader (milwaukee, wis.) 1911-1938",full_page,up,,,,False,scope=regional (not US national),,
Should this situation come about a bitter struggle is imminent.,employment,worsen,na,na,vague,assertive,journalist,Nate L. Welch,regional,False,Should this situation come about,/service/ndnp/whi/batch_whi_emmental_ver01/data/sn83045293/00517012452/1920102701/0080.xml,1920-10-27,"the milwaukee leader (milwaukee, wis.) 1911-1938",full_page,up,,,,False,scope=regional (not US national),,
"This would give the thousands of Milwaukee workers work throughout the winter and perhaps for years to come, instead of letting them walk the streets, which seems to be inevitable.",employment,worsen,na,up,6,hedged,expert,B. L. Bobroff,regional,True,government's refusal to recognize soviet Russia,/service/ndnp/whi/batch_whi_emmental_ver01/data/sn83045293/00517012452/1920111901/0330.xml,1920-11-19,"the milwaukee leader (milwaukee, wis.) 1911-1938",full_page,up,,,,False,scope=regional (not US national),,
Very few firms will give bonuses this year.,general_business,worsen,na,na,6,assertive,journalist,na,regional,False,na,/service/ndnp/whi/batch_whi_emmental_ver01/data/sn83045293/00517012452/1920111901/0330.xml,1920-11-19,"the milwaukee leader (milwaukee, wis.) 1911-1938",full_page,worsen,,,,False,scope=regional (not US national),,
"William C. Durant, a spectacularly successful stock market operator, believes that stocks of real merit will sell higher and that many new high levels will be established.",markets,improve,up,na,vague,hedged,expert,William C. Durant,national,True,na,/service/ndnp/whi/batch_whi_havarti_ver01/data/sn83045293/00542868983/1927021201/0086.xml,1927-02-12,"the milwaukee leader (milwaukee, wis.) 1911-1938",full_page,improve,improve,STOCK,1.0,True,,12.0,default
"And I look for further improvement in production around the first of April,",general_business,improve,na,na,6,hedged,expert,Samuel M. Vauclain,industry,True,na,/service/ndnp/whi/batch_whi_havarti_ver01/data/sn83045293/00542868983/1927032901/0636.xml,1927-03-29,"the milwaukee leader (milwaukee, wis.) 1911-1938",full_page,improve,,,,False,scope=industry (not US national),,
"It is not considered likely, however, that this rate of increase will be reflected in the final returns.",general_business,worsen,na,na,6,hedged,journalist,na,industry,False,na,/service/ndnp/whi/batch_whi_havarti_ver01/data/sn83045293/00542868983/1927032901/0636.xml,1927-03-29,"the milwaukee leader (milwaukee, wis.) 1911-1938",full_page,worsen,,,,False,scope=industry (not US national),,
some of the aggressive bears predicting that the May delivery will sell down to GTc or GSc some time next month.,markets,worsen,down,na,6,assertive,expert,na,industry,True,na,/service/ndnp/whi/batch_whi_havarti_ver01/data/sn83045293/00542868983/1927032901/0636.xml,1927-03-29,"the milwaukee leader (milwaukee, wis.) 1911-1938",full_page,worsen,,,,False,scope=industry (not US national),,
Early Spring Seen As Boon to Iowa Crops for 1927,general_business,improve,na,na,12,assertive,journalist,na,regional,False,na,/service/ndnp/whi/batch_whi_havarti_ver01/data/sn83045293/00542868983/1927032901/0636.xml,1927-03-29,"the milwaukee leader (milwaukee, wis.) 1911-1938",full_page,improve,,,,False,scope=regional (not US national),,
"but mills are for adjusting operations to an expected reduced demand paralleling the trend last year, in which July was the low point,’’ asserts Iron Age.",general_business,worsen,na,na,vague,hedged,expert,na,industry,True,na,/service/ndnp/whi/batch_whi_havarti_ver01/data/sn83045293/00542868995/1927051201/0560.xml,1927-05-12,"the milwaukee leader (milwaukee, wis.) 1911-1938",full_page,worsen,,,,False,scope=industry (not US national),,
A survey of consuming industries points to no rapid change in the largo diversified consumption shown by the statistics of shipments.”,general_business,no_change,na,na,vague,hedged,expert,na,national,True,na,/service/ndnp/whi/batch_whi_havarti_ver01/data/sn83045293/00542868995/1927051201/0560.xml,1927-05-12,"the milwaukee leader (milwaukee, wis.) 1911-1938",full_page,flat,flat,INDPRO,1.0,True,,12.0,default
"If the levees at Big Bend give way, it is likely that the larger portion of the Louisiana sugar crop will be destroyed.",other,worsen,na,na,vague,hedged,official,W. H. Williams,regional,True,If the levees at Big Bend give way,/service/ndnp/whi/batch_whi_havarti_ver01/data/sn83045293/00542868995/1927051201/0560.xml,1927-05-12,"the milwaukee leader (milwaukee, wis.) 1911-1938",full_page,worsen,,,,False,scope=regional (not US national),,
it looks as if there will be a runaway market on that species with oak and poplar following to a certain extent.,prices,unclear,up,na,vague,hedged,journalist,na,industry,False,na,/service/ndnp/whi/batch_whi_havarti_ver01/data/sn83045293/00542868995/1927051201/0560.xml,1927-05-12,"the milwaukee leader (milwaukee, wis.) 1911-1938",full_page,up,,,,False,scope=industry (not US national),,
"should the improvement continue, leaders believe the market will need constant support, to keep from going lower.",markets,worsen,down,na,vague,hedged,expert,na,industry,True,should the improvement continue,/service/ndnp/whi/batch_whi_havarti_ver01/data/sn83045293/00542868995/1927051201/0560.xml,1927-05-12,"the milwaukee leader (milwaukee, wis.) 1911-1938",full_page,worsen,,,,False,scope=industry (not US national),,
"one of the most pronounced of the local bull element said he expected- corn to have setbacks from time to time, but eventually to sell much higher.",prices,unclear,up,na,vague,hedged,expert,na,industry,True,na,/service/ndnp/whi/batch_whi_havarti_ver01/data/sn83045293/00542868995/1927051201/0560.xml,1927-05-12,"the milwaukee leader (milwaukee, wis.) 1911-1938",full_page,up,,,,False,scope=industry (not US national),,
"Nearly all commission houses are advocating purchases of July oats, and this may attract new investment buying of sufficient volume to add much to present values.",prices,unclear,up,na,vague,hedged,expert,na,industry,True,na,/service/ndnp/whi/batch_whi_havarti_ver01/data/sn83045293/00542868995/1927051201/0560.xml,1927-05-12,"the milwaukee leader (milwaukee, wis.) 1911-1938",full_page,up,,,,False,scope=industry (not US national),,
"Mercantile conditions remain generally favorable to a continuance of good business, without indicating a likelihood of any marked expansion.",general_business,improve,na,na,vague,hedged,expert,na,national,True,na,/service/ndnp/whi/batch_whi_havarti_ver01/data/sn83045293/00542868764/1927092901/0506.xml,1927-09-29,"the milwaukee leader (milwaukee, wis.) 1911-1938",full_page,improve,improve,INDPRO,1.0,True,,12.0,default
"Inquiries for machine tools were in larger volume during September and forecast a gain in business for the autumn which should make up for the deficiencies of the summer months, American Machinist reports.",general_business,improve,na,na,vague,hedged,expert,na,industry,True,na,/service/ndnp/whi/batch_whi_havarti_ver01/data/sn83045293/00542868764/1927092901/0506.xml,1927-09-29,"the milwaukee leader (milwaukee, wis.) 1911-1938",full_page,improve,,,,False,scope=industry (not US national),,
"In the east buying slowed down somewhat during the past week, but activity is expected to resume in October.",general_business,improve,na,na,6,hedged,expert,na,regional,True,na,/service/ndnp/whi/batch_whi_havarti_ver01/data/sn83045293/00542868764/1927092901/0506.xml,1927-09-29,"the milwaukee leader (milwaukee, wis.) 1911-1938",full_page,improve,,,,False,scope=regional (not US national),,
The customary autumn revival in the steel industry will come later than usual this year.,general_business,improve,na,na,vague,assertive,journalist,na,industry,False,na,/service/ndnp/whi/batch_whi_havarti_ver01/data/sn83045293/00542868764/1927092901/0506.xml,1927-09-29,"the milwaukee leader (milwaukee, wis.) 1911-1938",full_page,improve,,,,False,scope=industry (not US national),,
"Several large automobile companies have just put out inquiries for their fourth quarter steel, but purchases are likely to be less than for that period last year.",general_business,worsen,na,na,6,hedged,expert,na,industry,True,na,/service/ndnp/whi/batch_whi_havarti_ver01/data/sn83045293/00542868764/1927092901/0506.xml,1927-09-29,"the milwaukee leader (milwaukee, wis.) 1911-1938",full_page,worsen,,,,False,scope=industry (not US national),,
"Although frost is being delayed, traders are slowing up in their sales as experts forecast more damage to the crop from rain than frost would have done.",other,worsen,na,na,vague,assertive,expert,na,industry,True,na,/service/ndnp/whi/batch_whi_havarti_ver01/data/sn83045293/00542868764/1927092901/0506.xml,1927-09-29,"the milwaukee leader (milwaukee, wis.) 1911-1938",full_page,worsen,,,,False,scope=industry (not US national),,
"Vast construction programs already formulated and expected business expansion promise to make 1930 a “splendid employment year,” the department of labor declared.",employment,improve,na,down,12,assertive,official,na,national,True,na,/service/ndnp/whi/batch_whi_italico_ver01/data/sn83045293/00542869276/1930010301/0261.xml,1930-01-03,"the milwaukee leader (milwaukee, wis.) 1911-1938",full_page,down,,no UNRATE before 1948 / outside coverage,,False,no UNRATE before 1948 / outside coverage,12.0,stated
"“Road construction and public improvements will exceed by many millions the 1929 program,” Director General Jones of the department's employment service pointed out in a special report on the 1930 employment outlook.",general_business,improve,na,na,12,assertive,official,Jones,national,True,na,/service/ndnp/whi/batch_whi_italico_ver01/data/sn83045293/00542869276/1930010301/0261.xml,1930-01-03,"the milwaukee leader (milwaukee, wis.) 1911-1938",full_page,improve,worsen,INDPRO,0.0,True,,12.0,stated
"“But the vigor and strength of the nation are evidencing themselves, and after a careful survey of the business outlook we enter the new year with an optimistic spirit and high hopes, and predict that 1930 will measpre in volume of business with the preceding year.",general_business,no_change,na,na,12,assertive,official,Jones,national,True,na,/service/ndnp/whi/batch_whi_italico_ver01/data/sn83045293/00542869276/1930010301/0261.xml,1930-01-03,"the milwaukee leader (milwaukee, wis.) 1911-1938",full_page,flat,worsen,INDPRO,0.0,True,,12.0,stated
"“The extensive improvement plans of the major ralroads will afford much employment in their canstr action, maintenance and equipment! division.",employment,improve,na,down,vague,assertive,official,Jones,industry,True,na,/service/ndnp/whi/batch_whi_italico_ver01/data/sn83045293/00542869276/1930010301/0261.xml,1930-01-03,"the milwaukee leader (milwaukee, wis.) 1911-1938",full_page,down,,,,False,scope=industry (not US national),,
"“The automotive industry for the moment is marking time, but the large manufacturers are optimistic with the prospect of a volume of business equal, to that of the year just ended.",general_business,no_change,na,na,12,hedged,expert,na,industry,True,na,/service/ndnp/whi/batch_whi_italico_ver01/data/sn83045293/00542869276/1930010301/0261.xml,1930-01-03,"the milwaukee leader (milwaukee, wis.) 1911-1938",full_page,flat,,,,False,scope=industry (not US national),,
“It is expected that all building craftsmen will not be able to find employment until early spring.,employment,worsen,na,up,vague,hedged,official,Jones,industry,True,na,/service/ndnp/whi/batch_whi_italico_ver01/data/sn83045293/00542869276/1930010301/0261.xml,1930-01-03,"the milwaukee leader (milwaukee, wis.) 1911-1938",full_page,up,,,,False,scope=industry (not US national),,
"However, it is believed that building in 1930 should compare favorably with 1929.",general_business,improve,na,na,12,hedged,official,Jones,industry,True,na,/service/ndnp/whi/batch_whi_italico_ver01/data/sn83045293/00542869276/1930010301/0261.xml,1930-01-03,"the milwaukee leader (milwaukee, wis.) 1911-1938",full_page,improve,,,,False,scope=industry (not US national),,
"The force of employes of the Cudahy plant of the Fisk Rubber Co. vill be cut down about half between now anti July 1, according to B. H. Pratt, vice president, who returned yesterday from a conference with officials of the parent company.",employment,worsen,na,up,6,assertive,expert,B. H. Pratt,regional,True,na,/service/ndnp/whi/batch_whi_jarlsburg_ver01/data/sn83045293/00542868880/1930061401/0056.xml,1930-06-14,"the milwaukee leader (milwaukee, wis.) 1911-1938",full_page,up,,,,False,scope=regional (not US national),,
"“but we feel the depression has reached its lowest ebb, and business will start to pick up soon.",general_business,improve,na,na,vague,hedged,expert,H. A. Scandrett,national,True,na,/service/ndnp/whi/batch_whi_jarlsburg_ver01/data/sn83045293/00542868880/1930061401/0056.xml,1930-06-14,"the milwaukee leader (milwaukee, wis.) 1911-1938",full_page,improve,worsen,INDPRO,0.0,True,,6.0,inferred_short
"“It should be fair by September and should be back to normal by December, at the latest.’’",general_business,improve,na,na,6,hedged,expert,H. A. Scandrett,national,True,na,/service/ndnp/whi/batch_whi_jarlsburg_ver01/data/sn83045293/00542868880/1930061401/0056.xml,1930-06-14,"the milwaukee leader (milwaukee, wis.) 1911-1938",full_page,improve,worsen,INDPRO,0.0,True,,6.0,stated
"For the majority of the commission is as devoted to big business as is Hoover, and its findings in this case are that the steam railroads need more money, and that the return of prosperity is in sight.",general_business,improve,na,na,vague,assertive,official,na,national,True,na,/service/ndnp/whi/batch_whi_jarlsburg_ver01/data/sn83045293/00542868880/1930071601/0451.xml,1930-07-16,"the milwaukee leader (milwaukee, wis.) 1911-1938",full_page,improve,worsen,INDPRO,0.0,True,,12.0,default
They are bound to put many shippers out of business; in my 'estimation they will place an undue burden upon a particular class of shipi>ers and traffic.”,general_business,worsen,na,na,vague,assertive,official,Porter,regional,True,na,/service/ndnp/whi/batch_whi_jarlsburg_ver01/data/sn83045293/00542868880/1930071601/0451.xml,1930-07-16,"the milwaukee leader (milwaukee, wis.) 1911-1938",full_page,worsen,,,,False,scope=regional (not US national),,
"Hence the people in those states will have to pay higher prices, Including the higher freight rates, on automobiles, radio sets, typewriters, books, household goods, bakery goods, heavy groceries, iron and steel",prices,worsen,up,na,vague,assertive,journalist,na,regional,False,na,/service/ndnp/whi/batch_whi_jarlsburg_ver01/data/sn83045293/00542868880/1930071601/0451.xml,1930-07-16,"the milwaukee leader (milwaukee, wis.) 1911-1938",full_page,up,,,,False,scope=regional (not US national),,
"Oh, no, wages in the steel industry are not coming down; you can make up your mind to that fact",employment,no_change,na,na,vague,assertive,expert,J. A. Farrell,industry,True,na,/service/ndnp/whi/batch_whi_jarlsburg_ver01/data/sn83045293/00542868880/1930073101/0631.xml,1930-07-31,"the milwaukee leader (milwaukee, wis.) 1911-1938",full_page,flat,,,,False,scope=industry (not US national),,
"If the American government persists in stopping soviet imports into the United States, it will succeed in killing an export business three times as large",markets,worsen,na,na,vague,assertive,expert,Peter A. Bogdanov,national,True,stopping soviet imports,/service/ndnp/whi/batch_whi_jarlsburg_ver01/data/sn83045293/00542868880/1930073101/0631.xml,1930-07-31,"the milwaukee leader (milwaukee, wis.) 1911-1938",full_page,worsen,worsen,STOCK,1.0,True,,12.0,default
"Wage reductions would, in our opinion, retard and not stimulate business.",general_business,worsen,na,na,vague,hedged,expert,Charles R. Hook,national,True,wage reductions,/service/ndnp/whi/batch_whi_jarlsburg_ver01/data/sn83045293/00542868880/1930073101/0631.xml,1930-07-31,"the milwaukee leader (milwaukee, wis.) 1911-1938",full_page,worsen,worsen,INDPRO,1.0,True,,12.0,default
This condition is repeated every few years and must continue and grow worse as long as the present profit system lasts.,general_business,worsen,na,na,vague,assertive,layperson,na,national,False,as long as the present profit system lasts,/service/ndnp/whi/batch_whi_jarlsburg_ver01/data/sn83045293/00542868892/1930082101/0238.xml,1930-08-21,"the milwaukee leader (milwaukee, wis.) 1911-1938",full_page,worsen,worsen,INDPRO,1.0,True,,12.0,default
"Not less than 20,000 men will find employment for two and a half years, and to those who know the areas affected it is obvious that the reactions on British industry of these vast contracts will be enormous.",employment,improve,na,down,vague,assertive,journalist,Jessie Stephen,foreign,False,na,/service/ndnp/whi/batch_whi_jarlsburg_ver01/data/sn83045293/00542868892/1930082101/0238.xml,1930-08-21,"the milwaukee leader (milwaukee, wis.) 1911-1938",full_page,down,,,,False,scope=foreign (not US national),,
He foreshadowed a great increase in home-produced food supplies and a return of prosperity to the countryside.,general_business,improve,na,na,vague,assertive,official,Snowden,foreign,True,na,/service/ndnp/whi/batch_whi_jarlsburg_ver01/data/sn83045293/00542868892/1930082101/0238.xml,1930-08-21,"the milwaukee leader (milwaukee, wis.) 1911-1938",full_page,improve,,,,False,scope=foreign (not US national),,
"Once these measures are passed, it should not be very long before the results of scientific marketing of home produce proves to be beneficial both to growers and consumers.",general_business,improve,na,na,vague,hedged,journalist,Jessie Stephen,foreign,False,Once these measures are passed,/service/ndnp/whi/batch_whi_jarlsburg_ver01/data/sn83045293/00542868892/1930082101/0238.xml,1930-08-21,"the milwaukee leader (milwaukee, wis.) 1911-1938",full_page,improve,,,,False,scope=foreign (not US national),,
Again some of the administration officials at Washington are making rosy reports regarding a prospective upturn in industrial affairs and a return of “prosperity.”,general_business,improve,na,na,vague,assertive,official,administration officials,national,True,na,/service/ndnp/whi/batch_whi_jarlsburg_ver01/data/sn83045293/00542868892/1930090501/0446.xml,1930-09-05,"the milwaukee leader (milwaukee, wis.) 1911-1938",full_page,improve,worsen,INDPRO,0.0,True,,12.0,default
Roger Babson sees prosperity returning this fall.,general_business,improve,na,na,6,assertive,journalist,Roger Babson,national,True,na,/service/ndnp/whi/batch_whi_jarlsburg_ver01/data/sn83045293/00542868892/1930091101/0505.xml,1930-09-11,"the milwaukee leader (milwaukee, wis.) 1911-1938",full_page,improve,worsen,INDPRO,0.0,True,,6.0,stated
I certainly am optimistic regarding this fall. It is just as evident today that business is bound to improve as it was evident a year ago that the high pace of early 1929 could not be kept up.,general_business,improve,na,na,6,assertive,expert,Roger W. Babson,national,True,na,/service/ndnp/whi/batch_whi_jarlsburg_ver01/data/sn83045293/00542868892/1930091101/0505.xml,1930-09-11,"the milwaukee leader (milwaukee, wis.) 1911-1938",full_page,improve,worsen,INDPRO,0.0,True,,6.0,stated
A combination of low yields and of farm produce prices which were lowest last month than in any August since 1915 apparently offers scant promise of prosperity for American agriculture.,general_business,worsen,na,na,vague,hedged,journalist,Lyle C. Wilson,industry,False,na,/service/ndnp/whi/batch_whi_jarlsburg_ver01/data/sn83045293/00542868892/1930091101/0505.xml,1930-09-11,"the milwaukee leader (milwaukee, wis.) 1911-1938",full_page,worsen,,,,False,scope=industry (not US national),,
