speaker_name,publisher,state,date,episode,quote,predicted_label,realized_label,confidence,hit
Schwab,"evening star (washington, d.c.) 1854-1972",district of columbia,1930-10-24,1929 Crash,"Schwab told the American Iron and Steel Institute today that when the business revival comes, as come it must, \""it will bring to this country a larger i measure of prosperity than the Amer ican people have ever before known.\u201d He looks forward to 1932 as \u201canother record year.\u201d He said the \u201clevel-headed way In which business In general has weathered the current recession is most assuring, i and shows that the underlying founda tions of Its structure are sound.",improve,worsen,assertive,0.0
Klein,"evening star (washington, d.c.) 1854-1972",district of columbia,1930-11-07,1929 Crash,"KLEIN IS OPTIMISTIC 1 r 11 \u25a0ays law t Averages Show Trade Will Revive Vast Month, ISTANBUL, Turkey, November t UP).",improve,no_change,assertive,0.0
Glenn,"evening star (washington, d.c.) 1854-1972",district of columbia,1930-05-01,1929 Crash,GLENN FORECASTS BUSINESS REVIVAL Illinois Senator Says Tariff Bill\u2019s Passage Will Re act Well.,improve,worsen,assertive,0.0
Green,"the daily worker (chicago, ill.;new york, n.y.) 1924-1958",new york; illinois,1930-09-04,1929 Crash,"Green, we understand that you say that high wages will prevent a business depression Green: Yes, 1 said that and I stick by it.",improve,worsen,assertive,0.0
Morrow,"brownsville herald (brownsville, tex.) 1910-current",texas,1930-10-27,1929 Crash,"Morrow, warmly commending th< president, holds that the courage ol the people will constitute the majoi contribution to the return of pros perity.",improve,worsen,assertive,0.0
McGuire,"the washington daily news (washington, d.c.) 1921-1972",district of columbia,1937-10-05,1937 Recession,"Decision to expand was based on better sales prospects, McGuire said, and on an improved general business outlook in Canada.",improve,worsen,assertive,0.0
Wllliafh R.,"evening star (washington, d.c.) 1854-1972",district of columbia,1945-08-07,1945 Reconversion,"Bankers all over the country re gard the business outlook as favor able, \u201cwith consumers ready to con sume and producers ready to pro duce,\u201d Wllliafh R.",improve,worsen,assertive,0.0
Herbert Lehman,"the omaha guide (omaha, neb.) 1927-19??",nebraska,1945-08-25,1945 Reconversion,"WORLD RELIEF: Needs Boosted With the termination of the war in the Pacific expected to multiply its problems, the United Nations Re lief and Rehabilitation Administra tion Director Herbert Lehman de clared that more than two billion dollars in additional funds would be needed to help stricken countries before their restoration of stable economies.",improve,worsen,assertive,0.0
Herbert Lehman,"the frontier (o'neill city, holt county, neb.) 1880-1965",nebraska,1945-08-30,1945 Reconversion,"WORLD RELIEF: Needs Boosted With the termination of the war in the Pacific expected to multiply its problems, the United Nations Re lief and Rehabilitation Administra tion Director Herbert Lehman de clared that more than two billion dollars in additional funds would be needed to help stricken countries before their restoration of stable economies.",improve,worsen,assertive,0.0
President Truman,"the nome nugget (nome, alaska) 1938-current",alaska,1949-02-18,1948 Recession,"Le May) WASHINGTON, (/P\u00bb\u2014President Truman\u2019s confident forecast of continued prosperity brought this reaction today from his Capitol Hill critics: the best way to help the nation\u2019s business is to leave it alone.",improve,no_change,assertive,0.0
Truman,"the nome nugget (nome, alaska) 1938-current",alaska,1949-02-18,1948 Recession,"Truman told his Thursday news conference current price drops are only the leveling-off that everybody has been hoping for, and he spoke confidently of the business outlook.",improve,no_change,assertive,0.0
Keyserling,"evening star (washington, d.c.) 1854-1972",district of columbia,1949-03-20,1948 Recession,"Keyserling, vice chair man of the council, recently told the Congressional Joint Commit tee on the Economic Report that the business outlook at that time will be dampened by the decline in Government demand.",worsen,improve,assertive,0.0
Penney,"the western news (libby, mont.) 1933-current",montana,1949-03-24,1948 Recession,"Penney, the head of the national chain store system which bears his name, recently commented on the business outlook, will, of course, be a leveling off in certain lines of merchandise this year,\"" he said.",no_change,improve,assertive,0.0
Truman,"evening star (washington, d.c.) 1854-1972",district of columbia,1949-02-18,1948 Recession,"Truman told his weekly neArs conference that current price drops are only the leveling off that everybody has been hop ing for, and he spoke confidently of the business outlook.",improve,no_change,assertive,0.0
Truman,"the daily alaska empire (juneau, alaska) 1926-1964",alaska,1949-02-18,1948 Recession,"Truman told his Thursday news conference current price drops are only the leveling-off that every body has been hoping for, and he spoke confidently of the business outlook.",improve,no_change,assertive,0.0
Mr.,"evening star (washington, d.c.) 1854-1972",district of columbia,1948-07-29,1948 Recession,"\""Given the right prices, the Ameri can public still will buy.\u2019\u2019 Mr.",improve,worsen,assertive,0.0
Ruttenberg,"toledo union journal (toledo, ohio) 1942-current",ohio,1958-03-28,1957 Recession,"Ruttenberg, direc tor of the AFL-CIO Dept, of Re search, predicted that the Feb ruary figure will not be the peak of unemployment and warned the recession was the most severe (since 1937-38.",up,down,assertive,0.0
Henry Cathcart,"gadsden county times (quincy, fla.) 190?-current",florida,1958-04-03,1957 Recession,"march of EVENTS Business Sag, Unemployment t Republican Leaders Worried Rise Seen as Election Issues Upswing May Como Too Lato By HENRY CATHCART Central Press Washington Writer WASHINGTON\u2014 Both Democratic and Republican campaign strategists have become convinced that the United States business recession and mounting unemployment will become the big Issue of the 1958 congressional elections.",worsen,improve,assertive,0.0
Schiff,the san francisco call (san francisco [calif.]) 1895-1913,california,1906-01-05,1905 Calm (control),"{""/service/ndnp/curiv/batch_curiv_gualala_ver01/data/00100480724/1906010501/0070.xml"":{""full_text"":""BANKER SCHIFF PREDICTS A FINANCIAL PANIC.",worsen,improve,assertive,0.0
Jacob H. Schiff,the san francisco call (san francisco [calif.]) 1895-1913,california,1906-01-05,1905 Calm (control),"In a speech before the New York Chamber of Commerce yesterday,: Jacob -Hf Sohiff \\u25a0\\u25a0\\u25a0'\u2022'\"" predicted a record-breaking financial panic in; this 'countryT^^ \u00a3em were reformed.",worsen,improve,assertive,0.0
Rockefeller,"the newark journal (newark, ark.) 1901-1959",arkansas,1905-09-15,1905 Calm (control),Rockefeller has pre dicted that there will be another financial panic in the United States in 1907-8.,worsen,improve,assertive,0.0
Dr.,"the east hartford gazette (east hartford, conn.) 1942-current",connecticut,1956-05-31,1955 Calm (control),"I don\u2019t say it will come tomorrow, but it will come.\u201d Dr.",worsen,improve,assertive,0.0
Knox,"east cleveland leader (east cleveland, ohio) 1942-1970",ohio,1956-01-19,1955 Calm (control),"Knox forecast an \u201cunusually] good\u201d year for business in 1956, especially for the first six months.",improve,worsen,assertive,0.0
Philip M.,"evening star (washington, d.c.) 1854-1972",district of columbia,1956-05-26,1955 Calm (control),"HADLEY The consumer credit situation is souhd and there is nothing to disturb confidence in the near and long-term business outlook, Philip M.",improve,worsen,assertive,0.0
Kline,"montgomery county sentinel (rockville, md.) 1855-1974",maryland,1956-01-12,1955 Calm (control),"Kline forecast an \u201cunusual ly good\"" year for business in 1956, especially for the first six months.",improve,worsen,assertive,0.0
Dent,the new york times,,1974-04-27,1973 Oil Shock,"LEADING INDEXES UP 1.7% IN MARCH;Dent Says Gain Indicates Economy Will Improve—Some Are Doubtful
Potlatch Corp on April 26 approves investments of more than $100-million for 140,000-ton pulp and paperboard mill in south-eastern Arkansas",improve,worsen,assertive,0.0
Volcker,the new york times,,1980-07-23,1980 Recession,VOLCKER FORECASTS LESS MONEY GROWTH; Also Sees Tighter Credit in '81-- Miller Warns on Tax Cut Now Volcker Expects Money Curb Tighter '8l Credit Also Forecast Policies Called Complementary,worsen,improve,assertive,0.0
Bush,the new york times,,1990-11-30,1990 Recession,Once Again Bush Says Economy Will Improve,improve,no_change,assertive,0.0
Jurgen Schrempp,the new york times,,2001-07-21,2001 Dot-com Bust,"Chrysler Loss Isn't as Deep As Expected
DaimlerChrysler says its Chrysler unit lost $125 million in second quarter, better performance than analysts had expected because of stronger auto sales and gains from turnaround plan; Chrysler earned $986 million in year-earlier quarter; it lost $1.2 billion in first quarter; second-quarter net income at DaimlerChrysler fell 58 percent, to about $681 million; second-quarter earnings fell to $453 million from $1.52 billion; revenue dropped to $35.1 billion from $38 billion; DaimlerChrysler chief executive Jurgen Schrempp says company is on track to post operating profit for year of $1 billion to $1.5 billion; Chrysler chief executive Dieter Zetsche comments (M)",improve,no_change,assertive,0.0
Governor Harding,"the tri-county news (grand rapids, ohio) 1915-1949",ohio,1920-09-29,1920 Depression,"business leaders comment hopefully upon the outlook, Governor Harding, forsees \""a broad demand, which will probably extend for a period of years, for the products of our basic indus 11 ies.\"" Fidelity The survey published by the and Deposit t\u2019o.",improve,worsen,hedged,0.0
Judge Gary,"the mt. sterling advocate (mt. sterling, ky.) 1890-current",kentucky,1920-12-21,1920 Depression,"Our agricultural, manufacturing and mineral products 'and th'o facilities for utilizing all of them to the best ndvantngo aro rap idly increasing and, on the average, have renched a now high point.\"" In expressing great confidence in tho general business outlook, Judge Gary ndded: \""Wo have renson to beliovo that herenftef thero will be close co operation between business and the governmental authorities.",improve,no_change,hedged,0.0
Hornblower Weeks,"the mt. sterling advocate (mt. sterling, ky.) 1890-current",kentucky,1920-12-21,1920 Depression,"1 goes without say ing thnt grcnt progress and pros perity in this country will bo of de cided and continuing benefit to all other countries.\"" Rend this pointed forecast pre pared for \""Forbes\"" by tho well known banking nnd brokorngo firm, Ilornblowor .Weeks: \""Indulging in tho gratuitous folly of prophcoy, we beliovo that tho current 'industrial depression will end in February, nnd while wo feel that no sustained up ward movement in securities can come back boforo then, wo believe tho general love!",improve,no_change,hedged,0.0
Liabson,"the chickasha daily express (chickasha, indian territory [okla.]) 1899-current",oklahoma,1920-11-19,1920 Depression,liabson points out the following facts: As'-the result of the coming of national prohibition two and one half billion dollars previously wasted in this industry yearly is now available for business projects that are more useful and more likely to.,improve,worsen,hedged,0.0
Block,"evening star (washington, d.c.) 1854-1972",district of columbia,1930-05-10,1929 Crash,"Block, t chairman of Inland Steel, both ex -1 pressed favorable views regarding the business outlook.",improve,worsen,hedged,0.0
Verity,"evening star (washington, d.c.) 1854-1972",district of columbia,1930-05-10,1929 Crash,"Verity, chairman of the American Rolling Mills Co., predicted a \""conservatively active year.\u201d f DIES OF HIS INJURIES James 0.",improve,worsen,hedged,0.0
Williams,"the bismarck tribune (bismarck, n.d.) 1916-current",north dakota,1930-12-03,1929 Crash,By Williams BUSINESS OUTLOOK continues wry Good .Mingleg With Bad in Weekly Report Issued by Business Survey Firm Favorable items continue to mingle with those less favorable in the week ly business outlook issued today by R.,improve,worsen,hedged,0.0
President Hoover,"toledo hungarian-american weekly (toledo, ohio) 1930-1931",ohio,1930-10-31,1929 Crash,They will co-operate with not strive to thwart President Hoover in his efforts to bring about a return of prosperity for us all.,improve,worsen,hedged,0.0
Bryson,the washington times (washington [d.c.]) 1902-1939,district of columbia,1930-09-20,1929 Crash,"BRYSON DISTRICT passenger agent for the Canadian National Rail ways here, who predicted a gradual return of prosperity.",improve,worsen,hedged,0.0
Julius Klein,"evening star (washington, d.c.) 1854-1972",district of columbia,1930-11-07,1929 Crash,"\u2014Julius Klein, Assistant Secretary of Commerce for the United States, looks for an American business revival begin ning next month, he told the American Chamber of Commerce at a in his honor here yesterday.",improve,worsen,hedged,0.0
Klein,the washington times (washington [d.c.]) 1902-1939,district of columbia,1930-04-03,1929 Crash,"On a sliding down of prices there has been the natural tendency to hold goods off the market, a development which will correct itself when there is a turn in the price trend, according to Klein.",up,down,hedged,0.0
Morrow,"brownsville herald (brownsville, tex.) 1910-current",texas,1930-10-27,1929 Crash,"Morrow, warmly commending the president, holds that the courage of the people will constitute the major contribution to the return of pros perity.",improve,worsen,hedged,0.0
Roosevelt,"the waterbury democrat (waterbury, conn.) 1917-1946",connecticut,1938-01-05,1937 Recession,"Roosevelt estimated the net deficit for this (1938) fiscal year at $1,088,129,600 and for the 1939 fiscal year at $949.606,000\u2014with the pros pect that each actually will be greater.",worsen,improve,hedged,0.0
Hart,"miami citizen (miami, fla.) 1937-1949",florida,1946-04-04,1945 Reconversion,"Hart, explaining that the city has been granted that much of a 130,000,000 federal appropriation fur postwar planning throughout the nation, predicted that if an other depression should come the advance planning would pay off in worthwhile projects instead of a return to WPA leaf raking.",worsen,improve,hedged,0.0
Stacy,"st. ignatius post (st. ignatius, mont.) 1946-1962",montana,1949-06-02,1948 Recession,Stacy is of the opinion that the business outlook in his line will not warrant him maintaining his shop and stock of plumbing and electrical supplies.,worsen,improve,hedged,0.0
Rossant,the new york times,,1965-03-31,1965 Calm (control),"Dip in the Road for '66?; Despite Expectation of Good Year, Economists See Downturn Ahead
Rossant on revised forecasts",worsen,improve,hedged,0.0
